version_number,tool_id,tool_name,trusted,released_at,major_version_number,commit_url,source_url,release_source,no_of_stacks,lts,eol_info,support_info,tool_version_External_Factors_Freshness_Distance_from_latest_version,tool_version_External_Factors_Last_commit_date_of_the_package,tool_version_External_Factors_Security_Vulnerabilities,star_count,forks_count,watch_count,release_count,last_release_date,contributor_count,license,activiy,Dependent_count,Repo_Count_For_A_Tools,Repo_Count_For_A_Tools_Current_Version,Repo_Count_For_A_Tools_Version_wise,score
1.0.1,2237,PM2,TRUE,2016-02-13 16:08:05 UTC,1,https://github.com/Unitech/pm2/commit/d09458788b6319a80501319bc865e2fd2a718085,https://github.com/Unitech/pm2/releases/tag/1.0.1,github,0,,,,5,5,4,5,5,5,4,2023-05-22T22:18:17.317Z,5,3,3,36,0,0,"[{""version"": ""4.4.0"", ""no"": 0}, {""version"": ""2.7.2"", ""no"": 0}, {""version"": ""0.12.15"", ""no"": 0}, {""version"": ""2.10.2"", ""no"": 1}, {""version"": ""0.15.7"", ""no"": 0}, {""version"": ""2.0.18"", ""no"": 0}, {""version"": ""2.5.0"", ""no"": 0}, {""version"": ""1.1.2"", ""no"": 0}, {""version"": ""2.0.19"", ""no"": 0}, {""version"": ""4.2.3"", ""no"": 1}, {""version"": ""1.0.1"", ""no"": 0}, {""version"": ""3.5.2"", ""no"": 1}]",0
2.0.4,5577,nodemon,TRUE,2020-05-14 11:33:05 UTC,2,https://github.com/remy/nodemon/commit/a74f5dc3efef9a76e5c810ff3b70c4e3f1584183,https://libraries.io/npm/nodemon/2.0.4,github,32,,,,5,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,32,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
2.0.3,5577,nodemon,TRUE,2020-04-08 18:54:27 UTC,2,https://github.com/remy/nodemon/commit/ee92ee470b37d4cb69429198677afb19ede5100c,https://libraries.io/npm/nodemon/2.0.3,github,8,,,,5,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,8,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
2.0.2,5577,nodemon,TRUE,2019-12-11 14:24:24 UTC,2,https://github.com/remy/nodemon/commit/cd45d74593be411eba39481e5a8360c39079b118,https://libraries.io/npm/nodemon/2.0.2,github,37,,,,5,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,37,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
2.0.1,5577,nodemon,TRUE,2019-11-22 13:04:44 UTC,2,https://github.com/remy/nodemon/commit/ed91703f0870660a3159749878c273e3e61e64a3,https://libraries.io/npm/nodemon/2.0.1,github,0,,,,5,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,0,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.9.1,5577,nodemon,TRUE,2016-02-25 21:13:05 UTC,1,https://github.com/remy/nodemon/commit/6ccb29864c7a17b578a5a09b9a2dd382bbb41066,https://libraries.io/npm/nodemon/1.9.1,github,1,,,,4,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,1,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.4.0,5577,nodemon,TRUE,2015-07-27 20:44:52 UTC,1,,https://libraries.io/npm/nodemon/1.4.0,librariesio,0,,,,4,5,3,5,5,5,3,2023-07-09T08:45:14.215Z,5,5,5,34298,189,0,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.3.7,5577,nodemon,TRUE,2015-02-11 19:27:47 UTC,1,,https://libraries.io/npm/nodemon/1.3.7,librariesio,1,,,,4,5,3,5,5,5,3,2023-07-09T08:45:14.215Z,5,5,5,34298,189,1,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.2.1,5577,nodemon,TRUE,2014-07-01 16:23:36 UTC,1,,https://libraries.io/npm/nodemon/1.2.1,librariesio,1,,,,4,5,3,5,5,5,3,2023-07-09T08:45:14.215Z,5,5,5,34298,189,1,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.19.4,5577,nodemon,TRUE,2019-10-15 23:31:16 UTC,1,https://github.com/remy/nodemon/commit/7d6c1a88a10f02d3f00b6e0635f982bb74ce5708,https://libraries.io/npm/nodemon/1.19.4,github,15,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,15,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
